PassengerId,SibSp,Parch,Ticket,Fare
1,1,0,A/5 21171,-0.3120106021758714
2,1,0,PC 17599,2.4612422909015312
3,0,0,STON/O2. 3101282,-0.2827766613540295
4,1,0,113803,1.6737318966114614
5,0,0,373450,-0.277362968609244
6,0,0,330877,-0.2596796826276765
7,0,0,17463,1.6201363384380845
8,3,1,349909,0.2867438153974083
9,0,2,347742,-0.1438266578892661
10,1,0,237736,0.6763477929457417
11,1,1,PP 9549,0.0972645693299147
12,0,0,113783,0.5238635576190146
13,0,0,A/5. 2151,-0.277362968609244
14,1,5,347082,0.7285011433719076
15,0,0,350406,-0.2858429769246761
16,0,0,248706,0.0669478899591157
17,4,1,382652,0.6353856281615965
18,0,0,244373,-0.0629807359157369
19,1,0,345763,0.1535669738756842
20,0,0,2649,-0.3130933407248285
21,0,0,239865,0.5000433095419583
22,0,0,248698,-0.0629807359157369
23,0,0,330923,-0.2782638070819763
24,0,0,113788,0.9114839581456586
25,3,1,349909,0.2867438153974083
26,1,5,347077,0.7333734668422146
27,0,0,2631,-0.3130933407248285
28,3,2,19950,10.764404753655324
29,0,0,330959,-0.2847602383757189
30,0,0,349216,-0.2840412999792114
31,0,0,PC 17601,0.5745703693437738
32,1,0,PC 17569,5.719743953987942
33,0,0,335677,-0.2903558311967292
34,0,0,C.A. 24579,-0.1712545908114476
35,1,0,PC 17604,2.9327749289723517
36,1,0,113789,1.6260914004573488
37,0,0,2677,-0.3129114406486037
38,0,0,A./5. 2152,-0.277362968609244
39,2,0,345764,0.1535669738756842
40,1,0,2651,-0.1391319035409881
41,1,0,7546,-0.2156468713186889
42,1,0,11668,0.283495599750537
43,0,0,349253,-0.2840412999792114
44,1,2,SC/Paris 2123,1.1747713256184602
45,0,0,330958,-0.2847602383757189
46,0,0,S.C./A.4. 23567,-0.277362968609244
47,1,0,370371,0.0452931189799736
48,0,0,14311,-0.2903558311967292
49,2,0,2662,0.3129114406486037
50,1,0,349237,0.1449050654840274
51,4,1,3101295,1.092842665095974
52,0,0,A/4. 39886,-0.288190354098815
53,1,0,PC 17572,2.697101725452152
54,1,0,2926,0.5000433095419583
55,0,1,113509,2.058285981567459
56,0,0,19947,0.9114839581456586
57,0,0,C.A. 31026,-0.1712545908114476
58,0,0,2697,-0.3129114406486037
59,1,2,C.A. 34651,0.5758350079689557
60,5,2,CA 2144,1.405212736470099
61,0,0,2669,-0.3129114406486037
62,0,0,113572,2.838758575289308
63,1,0,36973,2.9892592335943453
64,3,2,347088,0.5823314392626983
65,0,0,PC 17605,0.5745703693437738
66,1,1,2661,0.0342838334141777
67,0,0,C.A. 29395,-0.1712545908114476
68,0,0,S.P. 3464,-0.2726725452151617
69,4,2,3101281,-0.2827766613540295
70,2,0,315151,-0.2508358741597949
71,0,0,C.A. 33111,-0.1712545908114476
72,5,2,CA 2144,1.405212736470099
73,0,0,S.O.C. 14879,2.55724655256046
74,1,0,2680,0.0
75,0,0,1601,1.8208024391934032
76,0,0,348123,-0.2946867853925576
77,0,0,349208,-0.2840412999792114
78,0,0,374746,-0.277362968609244
79,0,2,248738,0.629971935416811
80,0,0,364516,-0.0857182454438362
81,0,0,345767,-0.2362189037488739
82,0,0,345779,-0.2145641327697318
83,0,0,330932,-0.2887317233732936
84,0,0,113059,1.4138746448617558
85,0,0,SO/C 14885,-0.1712545908114476
86,3,0,3101278,0.0604514586653731
87,1,3,W./C. 6608,0.8627607234425888
88,0,0,SOTON/OQ 392086,-0.277362968609244
89,3,2,19950,10.764404753655324
90,0,0,343275,-0.277362968609244
91,0,0,343276,-0.277362968609244
92,0,0,347466,-0.2858429769246761
93,1,0,W.E.P. 5734,2.0234564479246067
94,1,2,C.A. 2315,0.2650890444182662
95,0,0,364500,-0.3120106021758714
96,0,0,374910,-0.277362968609244
97,0,0,PC 17754,0.8748527475573419
98,0,1,PC 17759,2.1180141708821285
99,0,1,231919,0.3701146836671055
